StatLevel/internal05,Greater Yang
PlayerStat/internal,Yin and Yang
PlayerStat/contribution,Contribution Level
PlayerStat/poison,Alchemy
PlayerStat/weapon,Forging
PlayerStat/faction,Sect Size
PlayerStat/team,Focused
PlayerStat/people,Disciple
PlayerStat/fame,Reputation
PlayerStat/talking,Mouth Power
PlayerStat/karma,Morality
PlayerStat/training,Cultivation
PlayerStat/behaviour,Worldliness
PlayerStat/disposition,Personality
PlayerStat/fate,Fate
PlayerStat/mental,Heart Connection
PlayerStat/literacy,Knowledge
PlayerStat/charisma,Charm
PlayerStat/dexterity,Qinggong
PlayerStat/stamina,Inner strength
PlayerStat/life,Stamina
PlayerStat/money,Silver taels
Character/echo,Echo
Character/horse_man_1,Horse Face
Character/cow_man_1,Ox Head
Character/wolf1,Wolf
Character/pig1,Wild Boar
Character/parrot1,Parrot
Character/horse1,Horse
Character/monkey1,Monkey
Character/chicken3,Chicken
Character/chicken2,Chicken
Character/chicken1,Chicken
Character/dog1,Dog
Character/firebird1,Fire Lightning
Character/tank1,Tiger Battle Tank
Character/mega_player,Million Zhao Huo
Character/mom1,Zhao Huo's mother
Character/sedan_talker_1,Person in the sedan chair
Character/people1,Crowd
Character/boy1,Youth
Character/child_boy2,Boy
Character/child_boy1,Boy
Character/child_girl2,Girl
Character/child_girl1,Girl
Character/artists,Martial Masters
Character/artist2,Martial Master
Character/artist1,Martial Master
Character/hero2,Young Hero
Character/hero1,Young Hero
Character/merchant1,Merchant
Character/sir1,Mister
Character/shopman1,Shopkeeper
Character/fairy1,Fairy Mistress
Character/lady1,Shopkeeper's wife
Character/woodcutter1,Woodcutter
Character/aunt3,Auntie
Character/aunt2,Auntie
Character/aunt1,Auntie
Character/female3,Female
Character/female2,Female
Character/female1,Female
Character/women4,Woman
Character/women3,Woman
Character/women2,Woman
Character/women1,Woman
Character/retainer3,Family Servant
Character/retainer2,Family Servant
Character/retainer1,Family Servant
Character/women411,Madam Nangong
Character/elder101,Elder Nangong
Character/elder1,Elderly person
Character/master99,Peerless Master
Character/blacksmith3,Blacksmith
Character/blacksmith2,Blacksmith
Character/blacksmith1,Blacksmith
Character/soldier83,Tubo soldier
Character/soldier82,Tubo soldier
Character/soldier81,Tubo soldier
Character/soldier73,Dali Soldier
Character/soldier72,Dali Soldier
Character/soldier71,Dali Soldier
Character/soldier63,Western Xia Soldier
Character/soldier62,Western Xia Soldier
Character/soldier61,Western Xia Soldier
Character/soldier51,Mongolian wrestler
Character/soldier42,Mongolian soldiers
Character/soldier41,Mongolian soldiers
Character/soldier23,Golden Soldier
Character/soldier22,Golden Soldier
Character/soldier21,Golden Soldier
Character/magistrate1,County Magistrate
Character/judgment1,Vice Magistrate
Character/guard1,Constable
Character/soldier31,Old General
Character/soldier3,Officials and soldiers
Character/soldier2,Officials and soldiers
Character/soldier1,Officials and soldiers
Character/pirate3,Pirate
Character/pirate2,Pirate
Character/pirate1,Pirate
Character/doctor1,Doctor
Character/student3,Student
Character/student2,Student
Character/student1,Student
Character/scholar2,Scholar
Character/scholar1,Scholar
Character/guest1,Guest
Character/showgirl1,Female Musician
Character/stone_trainees,Flying Stone Gang members
Character/stone_trainee_4,Flying Stone Gang
Character/stone_trainee_3,Flying Stone Gang
Character/stone_trainee_2,Flying Stone Gang
Character/stone_trainee_1,Flying Stone Gang
Character/stranger3,Passerby
Character/stranger2,Passerby
Character/stranger1,Passerby
Character/snake1,Snake
Character/bandit5,Mountain bandit
Character/bandit4,Mountain bandit
Character/bandit3,Mountain bandit
Character/bandit2,Mountain bandit
Character/bandit1,Mountain bandit
Character/badguy3,Villain
Character/badguy2,Villain
Character/badguy1,Villain
Character/mask3,Masked Person
Character/mask2,Masked Person
Character/mask1,Masked Person
Character/ranger_girl1,Heroine
Character/ranger_group,Wulin Alliance Heroes
Character/ranger5,Passerby Hero
Character/ranger4,Young Lord Xia
Character/ranger3,Passerby Hero
Character/ranger2,Passerby Hero
Character/ranger1,Passerby Hero
Character/oldbeggar2,Old Beggar
Character/oldbeggar1,Old Beggar
Character/beggar5,Beggar
Character/beggar4,Beggar
Character/beggar3,Beggar
Character/beggar2,Beggar
Character/beggar1,Beggar
Character/waiter3,Waiter
Character/waiter2,Waiter
Character/waiter1,Waiter
Character/chao1,Aunt He
Character/lee1,Doctor Li
Character/daoshi341,Quanzhen Elder
Character/daoshi313,Qingcheng Elder
Character/daoshi312,Qingcheng Elder
Character/daoshi311,Qingcheng Elder
Character/monk2,Old Monk
Character/monk1,Old Monk
Character/ghost3,Ghost Soldier
Character/ghost2,Ghost Soldier
Character/ghost1,Ghost Soldier
Character/dio1,Di Ao
Character/big_trainee_girl_1,Tang Jiao Jiao
Character/big_shock1,Xu Daqing
Character/big_trainee_2,Tang Dajing
Character/big_trainee_1,Tang Clan Disciple
Character/trainee_girl10,Tang Clan female disciple
Character/trainee_girl9,Tang Clan female disciple
Character/trainee_girl8,Tang Clan female disciple
Character/trainee_girl7,Tang Clan female disciple
Character/trainee_girl6,Tang Clan female disciple
Character/trainee_girl5,Tang Clan female disciple
Character/trainee_girl4,Tang Clan female disciple
Character/trainee_girl3,Tang Clan female disciple
Character/trainee_girl2,Tang Clan female disciple
Character/trainee_girl1,Tang Clan female disciple
Character/trainee496,Jinxiang Disciple
Character/trainee495,Jinxiang Disciple
Character/trainee494,Jinxiang Disciple
Character/trainee493,Jinxiang Disciple
Character/trainee492,Jinxiang Disciple
Character/trainee491,Jinxiang Disciple
Character/trainee422,Emei female disciple
Character/trainee421,Emei female disciple
Character/trainee402,Diancang Female Disciple
Character/trainee401,Diancang Female Disciple
Character/trainee371,Lingnan female disciple
Character/trainee363,Lingnan Disciple
Character/trainee362,Lingnan Disciple
Character/trainee361,Lingnan Disciple
Character/trainee353,Bronze Man
Character/trainee352,Bronze Man
Character/trainee351,Bronze Man
Character/trainee345_1,Quanzhen Disciple
Character/trainee345,Quanzhen Disciple
Character/trainee344,Quanzhen Disciple
Character/trainee343,Quanzhen Disciple
Character/trainee342,Quanzhen Disciple
Character/trainee341,Quanzhen Disciple
Character/trainee335_1,Songshan disciple
Character/trainee335,Songshan disciple
Character/trainee334,Songshan disciple
Character/trainee333,Songshan disciple
Character/trainee332,Songshan disciple
Character/trainee331,Songshan disciple
Character/trainee324,Emei Disciple
Character/trainee323_1,Emei Disciple
Character/trainee323,Emei Disciple
Character/trainee322,Emei Disciple
Character/trainee321,Emei Disciple
Character/trainee317,Qingcheng Disciple
Character/trainee316,Qingcheng Disciple
Character/trainee315,Qingcheng Disciple
Character/trainee314,Qingcheng Disciple
Character/trainee313,Qingcheng Disciple
Character/trainee312,Qingcheng Disciple
Character/trainee311,Qingcheng Disciple
Character/trainee305,Diancang Disciple
Character/trainee304,Diancang Disciple
Character/trainee303,Diancang Disciple
Character/trainee302,Diancang Disciple
Character/trainee301,Diancang Disciple
Character/trainee234,Mystic Skill Disciple
Character/trainee233,Mystic Skill Disciple
Character/trainee232,Mystic Skill Disciple
Character/trainee231,Mystic Skill Disciple
Character/trainee224,Soul‑stealer Disciple
Character/trainee223,Soul‑stealer Disciple
Character/trainee222,Soul‑stealer Disciple
Character/trainee221,Soul‑stealer Disciple
Character/trainee215_1,Iron Fist Disciple
Character/trainee215,Iron Fist Disciple
Character/trainee214,Iron Fist Disciple
Character/trainee213,Iron Fist Disciple
Character/trainee212,Iron Fist Disciple
Character/trainee211,Iron Fist Disciple
Character/trainee204,Flying Heaven Disciple
Character/trainee203,Flying Heaven Disciple
Character/trainee202,Flying Heaven Disciple
Character/trainee201,Flying Heaven Disciple
Character/trainee122,Mud Cult Disciple
Character/trainee121,Mud Cult Disciple
Character/trainee113,Cang Gang disciple
Character/trainee112,Cang Gang disciple
Character/trainee111,Cang Gang disciple
Character/trainee104,Nangong Family Servant
Character/trainee103,Nangong Family Servant
Character/trainee102,Nangong Family Servant
Character/trainee101,Nangong Family Servant
Character/trainees,Tang Clan Disciples
Character/trainee030,Tang Clan Disciple
Character/trainee024,Tang Clan Disciple
Character/trainee023,Tang Clan Disciple
Character/trainee022,Tang Clan Disciple
Character/trainee021,Tang Clan Disciple
Character/trainee020,Tang Clan Disciple
Character/trainee012,Tang Clan Disciple
Character/trainee011,Tang Clan Disciple
Character/trainee010,Tang Clan Disciple
Character/trainee9,Tang Clan Disciple
Character/trainee8,Tang Clan Disciple
Character/trainee7,Tang Clan Disciple
Character/trainee6,Tang Clan Disciple
Character/trainee5,Tang Clan Disciple
Character/trainee4,Tang Clan Disciple
Character/trainee3,Tang Clan Disciple
Character/trainee2,Tang Clan Disciple
Character/trainee1,Tang Clan Disciple
Character/girl_group1,Kongtong Four Maidens
Character/girl9,Shangguan Ying
Character/girl8_1,Wei Ju
Character/girl8,Wei Ju
Character/girl8_0,Young woman
Character/girl7_2,Yu Zhu
Character/girl7_1,Yu Zhu
Character/girl7,Yu Zhu
Character/girl6_2,Xiahou Lan
Character/girl6_1,Xiahou Lan
Character/girl6,Xiahou Lan
Character/girl5_6,Yu Xiaomei
Character/girl5_5,Yu Xiaomei
Character/girl5_4,Yu Xiaomei
Character/girl5_3,Female Bandit
Character/girl5_2,Yu Xiaomei
Character/girl5,Yu Xiaomei
Character/girl4_2,Long Xiang
Character/girl4,Long Xiang
Character/girl4_1,Young woman
Character/girl3,Xia Yulian (Temporary)
Character/girl3_1,？？？
Character/girl2_5,Ye Yunshang
Character/girl2_4,Ye Yunjiao
Character/girl2_3_1,Ye Yunzhao (?)
Character/girl2_3,？？？
Character/girl2_2,Ye Yunshang
Character/girl2,Ye Yunshang
Character/girl2_1,Young woman
Character/girl1,Rui Xing
Character/girl1_1,？？？
Character/special999_1,White clad youth
Character/special999,Rui Sheng
Character/special999_0,？？？
Character/special410,Abbot
Character/special409,Che Xuanxuan
Character/special408,Xiang Wuyou
Character/special407,Shangguan Jun
Character/special406,Wuming
Character/special405,Shentu Long
Character/special404,Danxiazi
Character/special403,Zhao Kui
Character/special402_3,Su Yingxiang
Character/special402_2,Lady Wen
Character/special402_1,Lady Wen
Character/special402,Lady Wen
Character/special401,Wang Erzhuang
Character/special213_0,？？？
Character/special212_2,Wu Xiang
Character/special212_1,Wuxiang Patriarch
Character/special212,Iron Crown Daoist
Character/special211_1,Li Ziqiong
Character/special211,Li Ziqiong
Character/special210,Genghis Khan
Character/special209,Qiu Chuji
Character/special208_1,Chao He
Character/special208,Chao He
Character/special207_1,Jinwu Shangren
Character/special207,Jinwu Shangren
Character/special206_2,Fu Yun
Character/special206,Fu Yun
Character/special205,Yin Zhiping
Character/special204,Fire Dragon Immortal Monarch
Character/special203,Ting Haisheng
Character/special202,Guan Yun Ke
Character/special201,Zou Bo
Character/special104,Nangong Heng
Character/special103,Nangong Qian
Character/special102_1,Nangong Shen
Character/special102,Nangong Shen
Character/special101,Nangong Yuan
Character/special837,Fang Duoruo
Character/special836,Duan Wanqing
Character/special835_1,Nangong Ji
Character/special835,Nangong Ji
Character/special834,Duan Zhixiu
Character/special833,Nangong Xiu
Character/special832,Tang Fang
Character/special831,Meng Xianyao
Character/special830,Liang You Shi
Character/special829,Nan Xi
Character/special828,Young Lord Yu
Character/special827,Cang Gang Leader
Character/special826,Shi Ming
Character/special825,Xia Lingxi
Character/special824,Jing Hong
Character/special823,Yuan Wuxian
Character/special822,Hu Yanju
Character/special821,Xiahou Mei
Character/special820,Third Fragrance
Character/special819,Wanyan Xun
Character/special818,Shu Rong
Character/special817,Zhao Kuo
Character/special816,Renegade Monk
Character/special815,Lady Shi
Character/special814,Wan Sheng
Character/special813_2,Painting Immortal
Character/special813_1,Painting Immortal
Character/special813,Painting Immortal
Character/special812_1,Tang Shouhong
Character/special812,Tang Shouhong
Character/special811,Tang Shan
Character/special810,Le Ping
Character/special809,Li Fugui
Character/special808_0,？？？
Character/special808,Jie Wuchen
Character/special807,Lu Weng
Character/special806,Old Soul Reaper
Character/special805,Crane Hand
Character/special805_0,？？？
Character/special804,Lei Qian
Character/special803,Jiang Xinglao
Character/special803_0,Merchant
Character/special802,Xin Ru
Character/special802_0,？？？
Character/special801,Tan Ba Dao
Character/special800,Song Bei
Character/special7,Shi Gongyuan
Character/special6,Wanli Pengcheng
Character/special6_1,？？？
Character/special5,Kunlun Slave
Character/special5_1,？？？
Character/special4,Fan Xiaotian
Character/special3_2,Ye Yunzhao
Character/special3,Ye Yunzhao
Character/special3_1,Straw Hat Person
Character/special2,Long Yuan
Character/special2_1,？？？
Character/special1,Liu E
Character/special1_1,Youth in dark robes
Character/sister1,Tang Moling
Character/master,Tang Zhongling
Character/brother4,Tang Weiyuan
Character/brother3_young,Tang Sheng
Character/brother3,Tang Sheng
Character/brother2_young,Young Tang Zheng
Character/brother2,Tang Zheng
Character/brother1_young,Young Tang Buyi
Character/brother1_2,Tang Buyi
Character/brother1,Tang Buyi
Character/brother1_1,Masked Person
Character/brother1_0,？？？
Character/player_section,Zhao Huo
Character/player_old,Zhao Huo
Character/player_child,Young Zhao Huo
Character/player_young,Young Zhao Huo
Character/player_ass,Zhao Huo's Rear
Character/player_soul,Zhao Huo
Character/player_imagine,Zhao Huo
Character/player,Zhao Huo
Character/unknown,？？？
Story/D_8_2_6_2_5_001,Hoo...
Story/D_8_2_6_2_4_029,"Don't be afraid, they are already severely weakened; we can win!"
Story/D_8_2_6_2_4_028,"Don't be afraid, they are already severely weakened. Come with me to go beat them up!"
Story/D_8_2_6_2_4_027,"The time is ripe; open the door and take the initiative to strike, pushing them away from the outer fortress! Control the front line within the fortress so that the junior disciples can support with Hidden Weapons!"
Story/D_8_2_6_2_4_026,"Remember, do not pursue a desperate enemy, and do not stray far from the outer fortress! Do not pay attention to those fleeing up the mountain! Our duty is to defend with all our strength and weaken the Wulin Alliance!"
Story/D_8_2_6_2_4_025,"Their sharpness has been dulled, and the moment for counterattack has arrived! All the heroes from various factions, follow this humble Daoist and step out to confront them!"
Story/D_8_2_6_2_4_033,No
Story/D_8_2_6_2_4_032,Senior Brother! Aren't you going to stop them?
Story/D_8_2_6_2_4_031,That makes a lot of sense
Story/D_8_2_6_2_4_030,"Simple, strike first"
Story/D_8_2_6_2_4_024,"The people from the Wulin Alliance have breached the outer walls; they possess both qinggong and neigong. They are surrounding the place from all directions, and the gates won't hold them back for long! What if they break in and set fire to everything? How shall we handle that?"
Story/D_8_2_6_2_4_023,"Everyone, don't panic. The hidden weapons of the Tang Clan are just a few! The head of the Nangong family and Lord Shangguan have already shared their insights with us. As long as we don't push too hard, we can launch a concerted attack to break through the fortress gates, and that will be our victory!"
Story/D_8_2_6_2_4_022,I will get started on the preparations right away!
Story/D_8_2_6_2_4_021,Now is the critical moment!
Story/D_8_2_6_2_4_020,"No, that's not possible. Sister‑in‑law has repeatedly instructed that it should not be used unless it's a critical moment! Have you all forgotten?"
Story/D_8_2_6_2_4_019,Are you referring to... that thing?
Story/D_8_2_6_2_4_018,What secret weapon?
Story/D_8_2_6_2_4_017,？
Story/D_8_2_6_2_4_016,It's time to unleash the secret weapon
Story/D_8_2_6_2_4_015,Yes!!
Story/D_8_2_6_2_4_014,"They have arrived, ready for battle"
Story/D_8_2_6_2_4_013,"Wulin Alliance Heroes, follow me, someone from Nangong, to the battlefield and surround the outer fortress!"
Story/D_8_2_6_2_4_012,"Yes, I am grateful for the support and guidance from my esteemed elder."
Story/D_8_2_6_2_4_011,"The stigma of the Nangong family relies on you to cleanse it; virtuous nephew, you must strive for excellence."
Story/D_8_2_6_2_4_010,"Remember, this is your last chance. If you can prove that the Nangong family is still trustworthy, there may still be a chance for Ying'er's future."
Story/D_8_2_6_2_4_009,"Sure, you are the strategist; you can command as you wish."
Story/D_8_2_6_2_4_008,"At this point, trying to take shortcuts is difficult; it's better to tackle it head‑on!"
Story/D_8_2_6_2_4_007,The Old Monk of Void cannot be of any help. What do you plan to do next?
Story/D_8_2_6_2_4_006,"Wulin Alliance Heroes, follow me, someone from Nangong, to the battlefield and surround the outer fortress!"
Story/D_8_2_6_2_4_005,"Young people, don't be so angry. Didn't the Lord fulfill their promise? They opened the door without bloodshed and then closed it right away."
Story/D_8_2_6_2_4_004,How is this possible!
Story/D_8_2_6_2_4_003,How can this be?
Story/D_8_2_6_2_4_002,"I, the old monk, have long said that the demon sect's enchantress is certainly not a good person! My apologies, my apologies."
Story/D_8_2_6_2_4_001,"...It seems you have fallen into a trap, dear nephew."
Story/D_8_2_6_2_3_030,Can we not be so serious about it?
Story/D_8_2_6_2_3_029,"Since you say I am the River East Lion Roar, I can't let you down. In any case, don't expect to have it easy from now on."
Story/D_8_2_6_2_3_028,"Oh dear, spare me"
Story/D_8_2_6_2_3_027,Are you daring to insult me?
Story/D_8_2_6_2_3_026,That is true
Story/D_8_2_6_2_3_025,"Sound wave qigong requires the use of inner strength to agitate the air. It's not just about being loud to win; otherwise, we would send you to the stage‑who would be your opponent?"
Story/D_8_2_6_2_3_024,So you can also shout this loudly
Story/D_8_2_6_2_3_023,"Yes, the disciple also has no choice in this matter."
Story/D_8_2_6_2_3_022,The noisy disciple really sounds terrible; don't call out next time.
Story/D_8_2_6_2_3_021,"Senior Brother, you are amazing"
Story/D_8_2_6_2_3_020,"Impressed, Brother Zhao. When it comes to neigong, I am clearly no match for you."
Story/D_8_2_6_2_3_019,Senior Brother! You did it! That old man is gone!
Story/D_8_2_6_2_3_018,"That boy has a fairly advanced neigong cultivation. It wouldn't be too difficult to exhaust his inner power until he dies, but I would also incur significant losses, making it too unprofitable."
Story/D_8_2_6_2_3_017,The younger generation has no such intention
Story/D_8_2_6_2_3_016,"You want to use provocation? Ha, I've eaten more salt than you've eaten rice. Just because I dress like a wild person doesn't mean I lack knowledge."
Story/D_8_2_6_2_3_015,...But that boy's neigong attainment far exceeds our expectations. The senior finds it difficult to seize the advantage in this moment.
Story/D_8_2_6_2_3_014,Yes
Story/D_8_2_6_2_3_013,Spare me the compliments; just hand over the throat lozenges you mentioned.
Story/D_8_2_6_2_3_012,"Senior, where do your words come from? I have always admired you from afar."
Story/D_8_2_6_2_3_011,"Are you really that kind‑hearted? I find you quite strange; while I am urging the enemy and getting nowhere, you seem to have let out a sigh of relief."
Story/D_8_2_6_2_3_010,"No, I have already burdened you, Senior. How dare I be so bold as to reprimand you? The Nangong family has prepared a throat‑soothing medicinal candy to offer to you."
Story/D_8_2_6_2_3_009,What's wrong? Are you dissatisfied? Do you have any complaints to voice?
Story/D_8_2_6_2_3_008,……。
Story/D_8_2_6_2_3_007,"What is this and that? My voice is hoarse, so I won't shout anymore."
Story/D_8_2_6_2_3_006,"Senior, what is this...?"
Story/D_8_2_6_2_3_005,"Hey, there are also skilled experts on the other side."
Story/T_8_2_6_2_3_001,"Hey, that boy with the Zhao surname is a member of the Tang Clan. His neigong cultivation is quite impressive, truly a wonder."
Story/T_8_2_6_2_3_003,"If Rui Lang were here, they would be able to compete with Senior Wan Li, no doubt about it."
Story/T_8_2_6_2_3_002,"Right now, I can only say that I'm barely holding on; if I roar again, I won't be able to last much longer. With no other choice, I have to leave the fortress and fight with Senior Wanli."
Story/D_8_2_6_2_3_004,"If it does not shock the internal energy, then the Lion's Roar Skill is not to be feared."
Story/D_8_2_6_2_3_003,"However, it is effective and offsets most of it, so for the time being, it can still hold up."
Story/D_8_2_6_2_3_002,"The inner strength is too weak, can't suppress it...!"
Story/D_8_2_6_2_3_001,I am going to the Upper Fort
Story/D_8_2_6_2_2_034,"Hahaha, now the momentum is strong enough; we can go to battle."
Story/D_8_2_6_2_2_033,Can we not be so serious about it?
Story/D_8_2_6_2_2_032,"Since you say I am the River East Lion Roar, I can't let you down. In any case, don't expect to have it easy from now on."
Story/D_8_2_6_2_2_031,"Oh dear, spare me"
Story/D_8_2_6_2_2_030,Are you daring to insult me?
Story/D_8_2_6_2_2_029,"You're the best at scolding others; in fact, there's no need for anyone else to step in. Your roar is enough, like a lioness from the East River."
Story/D_8_2_6_2_2_028,How about it? I also contributed!
Story/D_8_2_6_2_2_027,That's true
Story/D_8_2_6_2_2_026,"Of course not, would I do something so unrefined?"
Story/D_8_2_6_2_2_025,"Master, did you also shout along?"
Story/D_8_2_6_2_2_024,"Do you shout along with everyone else? I've never heard you yell; how frustrating, I missed it."
Story/D_8_2_6_2_2_023,Is silent now
Story/D_8_2_6_2_2_022,Ahem
Story/D_8_2_6_2_2_021,"Senior Brother, just now──"
Story/D_8_2_6_2_2_020,Hahaha! I've never shouted this loud before; my voice is all hoarse now.
Story/D_8_2_6_2_2_019,Senior Brother! We did it! That old man is gone!
Story/D_8_2_6_2_2_018,"The Lion's Roar of the Buddhist teachings is originally a divine power to subdue heretical paths. When the lion roars, all beasts perish, symbolizing the Buddha's teachings that vanquish external demons. They are bold and fearless; it is not necessarily that they are evil spirits. It is only natural that they are not harmed by the Lion's Roar."
Story/D_8_2_6_2_2_017,So that's how it is
Story/D_8_2_6_2_2_016,"What do you know? The Lion's Roar Skill uses sound waves infused with inner strength to harm others. Their shouting cannot cancel it out. However, all I hear are the shouts of my own people, so the impact of my roar is naturally greatly reduced."
Story/D_8_2_6_2_2_015,Can what they're shouting from the other side really compete with the Lion's Roar Skill?
Story/D_8_2_6_2_2_014,Yes
Story/D_8_2_6_2_2_013,Spare me the compliments; just hand over the throat lozenges you mentioned.
Story/D_8_2_6_2_2_012,"Senior, where do your words come from? I have always admired you from afar."
Story/D_8_2_6_2_2_011,"Are you really that kind‑hearted? I find you quite strange; while I am urging the enemy and getting nowhere, you seem to have let out a sigh of relief."
Story/D_8_2_6_2_2_010,"No, I have already burdened you, Senior. How dare I be so bold as to reprimand you? The Nangong family has prepared a throat‑soothing medicinal candy to offer to you."
Story/D_8_2_6_2_2_009,What's wrong? Are you dissatisfied? Do you have any complaints to voice?
Story/D_8_2_6_2_2_008,……。
Story/D_8_2_6_2_2_007,"What is this and that? My voice is hoarse, so I won't shout anymore."
Story/D_8_2_6_2_2_006,"Senior, what is this...?"
Story/D_8_2_6_2_2_005,"Hey, the one across has some backbone, still daring to respond."
Story/D_8_2_6_2_2_004,Oh────!!
Story/D_8_2_6_2_2_003,Good!
Story/D_8_2_6_2_2_002,"Hero Zhao, let us go to the upper tower and let out a long howl to inspire the morale!"
Story/D_8_2_6_2_2_001,"Although my inner strength is not as great as theirs, I have also practiced the Sound Wave Technique. If it's a competition of who can be louder, I might not necessarily lose. Let's go, up to the fortress tower."
Story/D_8_2_6_2_1_031,"Sisters, quickly follow me to retreat into the outer fortress to avoid being pursued by the villains of the Wulin Alliance!"
Story/D_8_2_6_2_1_030,Of course!
Story/D_8_2_6_2_1_029,"No, it's nothing. Of course, I trust you."
Story/D_8_2_6_2_1_028,"Brother, what's wrong with you?"
Story/T_8_2_6_2_1_002,"It shouldn't be a feigned submission; they must be planning to collude with others to deal with us, right?"
Story/D_8_2_6_2_1_027,"Of course, you can trust it, right?"
Story/D_8_2_6_2_1_047,Of course
Story/D_8_2_6_2_1_046,"Young Hero Zhao, if you can trust me, you certainly can't distrust Jinxiang Palace."
Story/D_8_2_6_2_1_026,"If you don't open the door and let us in, it can't be that you don't trust your own sisters."
Story/D_8_2_6_2_1_025,Yes!
Story/D_8_2_6_2_1_024,"Don't cry anymore, we will all be together from now on!"
Story/D_8_2_6_2_1_023,"Junior Sister Long, everyone says you've grown up, yet you still cry so easily."
Story/T_8_2_6_2_1_005,"What a letdown, and it didn't work out again."
Story/D_8_2_6_2_1_022,That's really great... Wuwu~
Story/D_8_2_6_2_1_021,"You all... that's great, that's great!"
Story/D_8_2_6_2_1_020,Not a single one! We repay kindness with kindness and revenge with revenge! We help the Tang Clan!
Story/D_8_2_6_2_1_019,"You think that the Wulin Alliance persecuted Jinxiang Sect, killed the sect's leader, and this grudge cannot live under the same sky. Not seeking retribution from them would already be a form of bearing humiliation and hardship. Which one of us without blood or tears would join forces with them? Sisters and fellow disciples, let this foolish junior sister hear it from you."
Story/D_8_2_6_2_1_018,"If it's true, I'm not afraid; we've lived together for so long. I'm only afraid... afraid that I must meet you all on the battlefield."
